level,word,answer,part,choice1,choice2,choice3
basic,accept,受け入れる,動詞,断る,借りる,選ぶ
basic,borrow,借りる,動詞,貸す,忘れる,改善する
basic,choose,選ぶ,動詞,受け入れる,静かな,天気
basic,daily,毎日の,形容詞,十分な,地元の,役に立つ
basic,enough,十分な,形容詞,毎日の,なしで,静かな
basic,forget,忘れる,動詞,覚える,選ぶ,借りる
basic,improve,改善する,動詞,悪化する,忘れる,交渉する
basic,quiet,静かな,形容詞,騒がしい,毎日の,地元の
basic,reason,理由,名詞,予算,到着,天気
basic,useful,役に立つ,形容詞,不要な,十分な,静かな
basic,weather,天気,名詞,手荷物,理由,収益
basic,without,なしで,前置詞,一緒に,十分な,毎日の
travel,arrival,到着,名詞,出発,予約,乗り換え
travel,baggage,手荷物,名詞,通貨,旅券,運賃
travel,boarding,搭乗,名詞,到着,予約,目的地
travel,currency,通貨,名詞,手荷物,土産,運賃
travel,delay,遅れ,名詞,出発,目的地,搭乗
travel,destination,目的地,名詞,予約,地元の,到着
travel,fare,運賃,名詞,通貨,土産,手荷物
travel,local,地元の,形容詞,毎日の,静かな,十分な
travel,passport,旅券,名詞,手荷物,請求書,予約
travel,reservation,予約,名詞,到着,提案,締め切り
travel,souvenir,土産,名詞,通貨,目的地,手荷物
travel,transfer,乗り換え,名詞,搭乗,目的地,到着
business,agenda,議題,名詞,予算,顧客,戦略
business,budget,予算,名詞,収益,議題,請求書
business,client,顧客,名詞,提案,議題,締め切り
business,deadline,締め切り,名詞,開始する,予算,提案
business,estimate,見積もる,動詞,交渉する,改善する,受け入れる
business,feedback,意見・反応,名詞,請求書,収益,議題
business,invoice,請求書,名詞,予算,提案,旅券
business,launch,開始する,動詞,締め切り,交渉する,見積もる
business,negotiate,交渉する,動詞,開始する,選ぶ,改善する
business,proposal,提案,名詞,顧客,請求書,予約
business,revenue,収益,名詞,予算,議題,理由
business,strategy,戦略,名詞,提案,顧客,議題
