level,word,answer,part,choice1,choice2,choice3
basic,株式,企業が資金調達のために発行する持分,基礎,銀行の預金証書,商品の在庫,毎月の給与
basic,配当,企業が利益の一部を株主へ分配するお金,基礎,株を買う手数料,借入金の返済,為替レート
basic,株主優待,企業が株主に提供する商品やサービスなどの特典,基礎,売買注文の暗証番号,決算書の注記,国の補助金
basic,時価総額,株価に発行済株式数を掛けた企業価値の目安,指標,売上から原価を引いた額,1株あたりの配当,現金の残高
basic,約定,売買注文が成立すること,注文,配当を受け取ること,企業が上場すること,株価を予想すること
indicator,PER,株価が1株利益の何倍かを示す指標,指標,自己資本に対する利益率,売上の成長率,配当の支払日
indicator,PBR,株価が1株純資産の何倍かを示す指標,指標,株価が1株利益の何倍か,年間配当の割合,出来高の合計
indicator,ROE,自己資本を使ってどれだけ利益を出したかを示す指標,指標,株価の変動幅,配当の総額,売買代金
indicator,配当利回り,株価に対して年間配当がどれくらいかを示す割合,指標,企業の借入比率,1日の売買株数,税引後利益率
trade,成行注文,価格を指定せず成立を優先する注文,注文,価格を指定して出す注文,配当を受け取る手続き,株主総会の投票
trade,指値注文,売買したい価格を指定する注文,注文,価格を指定しない注文,企業の利益予想,税金の申告
trade,損切り,損失拡大を避けるために含み損の株を売ること,注文,利益確定のための買い増し,配当の再投資,株主優待の申請
market,出来高,一定期間に売買された株数,市場,配当の利回り,企業の純資産,証券会社の口座数
market,ストップ高,取引所が定める1日の上限価格まで株価が上がること,市場,1日の下限価格まで下がること,配当が増えること,売買が停止すること
market,IPO,企業が新たに株式を公開して市場で売買できるようにすること,市場,既存株主への配当,株式の分割,信用取引の返済
