level,word,answer,part,choice1,choice2,choice3
basic,KPI,重要業績評価指標。目標達成度を測るための数値,管理,会議の議事録,会社の所在地,給与明細
basic,KGI,最終的なゴール達成を測る重要目標達成指標,管理,毎日の作業時間,顧客の住所録,商品の型番
basic,PDCA,計画・実行・確認・改善を回す改善サイクル,改善,売上総利益,契約書の更新,市場価格
basic,粗利,売上から売上原価を引いた利益,会計,営業利益から税金を引いた額,在庫数,広告表示数
basic,営業利益,本業で得た利益を示す指標,会計,株式の売買益,現金残高,社員数
basic,リード,将来顧客になる可能性がある見込み客,営業,既存社員,請求書,納品書
basic,コンバージョン,問い合わせや購入など目的とする行動が達成されること,マーケティング,会議室の予約,社員の異動,株式分割
basic,稟議,社内で承認を得るための手続きや文書,管理,顧客訪問,広告配信,株式売買
strategy,SWOT,強み・弱み・機会・脅威で状況を整理する分析,戦略,損益計算書,従業員名簿,物流伝票
strategy,ペルソナ,典型的な顧客像を具体化したもの,マーケティング,棚卸資産,議決権,通信規格
strategy,セグメント,顧客や市場を特徴ごとに分けた区分,マーケティング,税率,給与区分,端末番号
strategy,ブランディング,商品や企業の印象や価値を設計して高める活動,マーケティング,請求書の発行,サーバー監視,株価の計算
finance,キャッシュフロー,現金の出入りの流れ,会計,会議の出席者,広告の画像,社員の役職
finance,固定費,売上に関係なく一定程度発生する費用,会計,売上に応じて増減する費用,臨時収入,株価指数
finance,変動費,売上や生産量に応じて増減する費用,会計,毎月一定の家賃,会社のロゴ,会議の議題
finance,売上高,商品やサービスを販売して得た収入の総額,会計,売上から原価を引いた利益,本業以外も含めた利益,税金を引いた最終利益
finance,経常利益,営業利益に営業外損益を加減した通常の事業活動による利益,会計,商品販売で得た収入総額,本業だけで得た利益,税引後の最終利益
finance,純利益,税金などを差し引いた後に最終的に残る利益,会計,売上高から原価だけを引いた利益,本業だけで得た利益,現金の出入りの流れ
