level,word,answer,part,choice1,choice2,choice3
basic,API,ソフトウェア同士が機能やデータをやり取りするための窓口,開発,画面の色設定,物理的なケーブル,株価指標
basic,フロントエンド,ユーザーが直接操作する画面側の部分,開発,データベース専用機器,税務処理,営業資料
basic,バックエンド,画面の裏側で処理やデータ管理を行う部分,開発,画面の見た目だけの部分,株の注文方法,広告枠
basic,データベース,データを整理して保存・検索できる仕組み,データ,画像編集ソフト,会議の予定表,通信速度
basic,クラウド,インターネット経由でサーバーやサービスを使う仕組み,インフラ,端末のケース,紙の契約書,株主総会
basic,サーバー,他の端末にサービスやデータを提供するコンピューター,インフラ,利用者のスマホケース,会議の司会者,銀行口座
security,認証,利用者が本人か確認する仕組み,セキュリティ,データを削除する処理,画像を圧縮する処理,利益を計算する式
security,認可,認証済みの利用者に操作権限を与える仕組み,セキュリティ,本人確認そのもの,画面色の設定,売上予測
security,暗号化,第三者が読めない形にデータを変換すること,セキュリティ,画面を明るくすること,在庫を数えること,広告を出すこと
web,HTTP,Webブラウザとサーバーが通信するときの代表的なルール,通信,企業の決算書,投資信託の種類,給与計算
web,CSS,Webページの見た目を指定する言語,開発,データ通信の住所,サーバーの部品,会計基準
web,レスポンシブ,画面サイズに合わせて表示を調整する設計,UI,通信を暗号化する方式,株価の予測手法,給与の支払い方法
data,ログ,システムの動作や出来事を記録したもの,運用,株主の名簿,広告の見出し,契約金額
data,キャッシュ,再利用のために一時保存されたデータ,性能,永久保存される契約書,株主への配当,会議の結論
data,バックアップ,障害に備えてデータの複製を保存すること,運用,画面を装飾すること,顧客を分類すること,株を買うこと
